DEPRECATED: Use of this script to execute hdfs command is deprecated.
Instead use the hdfs command for it.

	396
irritatingly	132
is	396
isn't	132
issen	132
it	1980
it's	132
its	132
jars	132
jealous	132
job--a	132
joy	132
just	132
kept	132
kissed	132
knew	264
knife	132
know	1188
ladies	132
landscape	132
large	132
lass	132
laughed	132
leaned	132
least	132
let	660
letter	132
lick	132
life	396
lifetime	132
lifted	132
like	792
lip	132
listen	132
little	132
long	264
look	924
looked	792
looking	132
made	528
makes	132
making	132
many	132
marrow	132
masculine	132
may	264
me	1320
measurements	132
meditative	132
meet	132
men	264
met	264
might	132
mighty	132
mind	132
miner	264
moment	132
more	396
mother	1188
mount	132
mouth	132
moved	132
movements	132
much	528
my	660
myself	132
needn't	132
nervous	132
never	132
nevertheless	132
nice	264
nice-looking	132
niver	132
no	396
not	1980
nothing	396
noticed	132
now	264
nuisance--here	132
of	3036
oil	132
old	132
on	1452
once	132
one	396
only	264
or	264
other	264
out	1056
overseer	132
own	132
perfectly	132
perhaps	396
picture	132
pictures	264
poor	132
postman	132
powers	132
praise	132
pride	132
printed	132
prize	264
prizes	132
probably	132
proceeded	132
promise	264
proportioned--almost	132
proud	264
public	132
public-house	132
put	132
raised	132
rate	132
rather	264
read	132
ready	132
rear	132
red	264
regiment	132
remembered	132
repeated	132
replied	264
resented	132
retorted	132
rich	132
rocking-chair	132
room	132
rosy	132
round	132
ruins	132
runs	132
s'll	132
sack-like	132
said	2904
same	132
sat	396
satisfaction	132
saw	528
say	132
scorn	132
scornful	132
screwed	132
searchingly	132
seat	132
see	528
seen	528
sense	132
sergeant	132
set	264
shall	132
shape	132
shape!--lick	132
she	3828
shilling	132
shock	132
shook	132
should	396
shoulders	132
shouldn't	132
shout	132
showing	132
sick	132
sight	132
silence	132
simple	132
sketch	264
skies	132
skin	132
slightly	264
smith	132
snatching	132
so	924
soldier	264
some	132
something	264
son	792
sort	132
sought	132
soul	132
specimen--and	132
spirit	132
sporting	132
started	132
still	264
stool	132
stop	396
strange	264
stranger	132
striking	132
struggle	132
students	132
studies	132
stung	132
such	264
suddenly	396
suit	132
sullen	132
sunshine	132
suppose	132
swell	264
take	132
taken	132
taste	132
tell	132
ter	132
that	1188
the	5808
thee	132
them	528
there	528
they	792
thing	396
think	396
thinking	132
this	528
those	132
though	132
thought	132
till	132
time	528
times	132
to	5016
to-day	132
to-night	132
told	132
tomorrow	132
too	264
took	132
town	264
tragedy	132
train	264
trifle	132
trophies	132
trouble	396
trying	132
turned	396
turning	132
two	396
unaware	132
understand	264
uniform	132
unknown	132
up	924
upper	132
upsets	132
usually	132
very	132
walked	132
walking	132
walls	132
wandered	132
want	264
wants	264
warm	132
was	3960
watched	132
water-colour	132
wearing	132
well	264
well--but	132
well-dressed	132
went	264
were	792
what	792
what's	132
when	528
where	264
whether	132
which	396
white	132
whites	132
who	132
why	264
will	528
winder	132
wish	132
with	2640
woman	660
women	132
wonder	132
wore	132
work	396
worry	132
would	660
wrath	264
yesterday	132
you	4092
you're	132
young	264
your	264
